AC,CALI,DEN,GR,NEU,RDEP,RMED
110.8018,12.8197,2.375,55.3348,61.7993,0.7624,0.8403
112.9352,12.2658,2.2895,58.9345,42.3004,0.7353,0.7915
108.9326,11.8095,2.215,52.1809,39.6071,0.8035,0.8161
112.8384,10.0,2.2112,58.7711,51.5171,0.813,0.8268
111.2351,10.7212,2.2413,56.0658,61.2518,0.8931,0.9055
110.9229,12.403,2.2616,55.539,47.0469,0.8672,0.986
115.0713,13.4131,2.2698,62.5386,48.1365,0.8916,1.0389
109.3474,13.8749,2.3138,52.8807,79.1181,0.8335,1.0268
110.3472,12.7619,2.3722,54.5677,36.2816,0.7922,0.8397
105.9617,12.1652,2.3755,47.1679,25.9428,0.769,0.8654
107.1868,11.8019,2.3547,49.2351,38.3518,0.7893,0.9646
109.0217,9.0376,2.3403,52.3311,30.6974,0.9155,0.9541
110.0044,8.8507,2.3273,53.9893,30.5262,1.0222,1.1623
112.9126,8.7619,2.3121,58.8963,30.9628,0.951,1.1201
108.903,8.7712,2.2781,52.1309,29.9888,0.9681,1.0574
112.464,8.8571,2.2591,58.1393,42.2729,0.9788,1.0538
114.1082,8.8693,2.2744,60.9137,55.7612,0.9513,1.0093
113.0839,9.0136,2.3075,59.1854,49.7556,0.933,0.9794
109.1083,8.8421,2.3428,52.4772,43.5671,0.9003,0.9107
113.2198,8.7619,2.3558,59.4147,53.0886,0.889,0.9366
109.8611,8.7026,2.3483,53.7474,67.4429,0.8901,0.9221
114.3436,8.9242,2.3501,61.3109,46.7642,0.9025,0.9244
112.4987,9.0149,2.3584,58.1979,51.5813,0.9074,0.9183
118.5693,9.0284,2.3588,68.441,40.741,0.8791,0.9374
118.221,8.9524,2.3538,67.8533,56.7132,0.8692,0.9135
117.7946,8.9524,2.3528,67.1337,45.8107,0.8264,0.8463
118.059,8.9524,2.3411,67.5799,51.7579,0.8218,0.8802
119.8238,8.9524,2.2972,70.5577,77.2198,0.8698,0.8639
112.9323,8.7619,2.2184,58.9296,69.6377,0.8711,0.899
110.5408,8.7619,2.2425,54.8944,57.0408,0.8567,0.9243
106.315,9.3998,2.2932,47.7641,60.9939,0.8009,0.9668
106.0677,10.854,2.3223,47.3468,46.8526,0.767,0.9614
106.5376,11.9059,2.3174,48.1396,44.8193,0.7736,0.97
107.2066,8.8527,2.3009,49.2684,37.6218,0.7556,0.8668
107.5242,8.9525,2.2922,49.8045,41.1011,0.7653,0.8184
107.4226,9.6739,2.2778,49.633,32.9881,0.7624,0.8408
111.1514,9.8601,2.2679,55.9245,31.7214,0.7643,0.8552
109.4458,8.7567,2.2761,53.0467,38.784,0.7645,0.8674
109.5747,8.718,2.2931,53.2642,43.2805,0.7689,0.8561
107.2709,8.6667,2.3091,49.377,37.1369,0.7646,0.854
109.0599,8.6667,2.3208,52.3956,51.8666,0.7643,0.8301
107.7439,8.7619,2.3099,50.1751,58.6734,0.7663,0.8229
110.1826,8.7619,2.2953,54.2899,42.8142,0.7616,0.8229
111.4538,8.7619,2.3029,56.4348,49.9422,0.7557,0.8247
112.0392,8.7619,2.326,57.4226,51.6477,0.7483,0.8061
112.4449,8.7619,2.3408,58.1072,31.2433,0.7497,0.7849
110.5274,8.7619,2.3027,54.8718,34.8755,0.7439,0.7859
106.4016,8.6667,2.2604,47.9102,32.9523,0.7309,0.7885
107.4999,8.7249,2.2569,49.7634,29.9075,0.7214,0.7919
106.1448,8.7619,2.2649,47.4769,33.9199,0.7203,0.7978
107.1674,8.7619,2.2621,49.2024,32.9541,0.7255,0.8161
102.8759,8.7469,2.248,41.9613,40.3044,0.7354,0.8232
103.1424,8.6667,2.2417,42.4109,41.0152,0.7471,0.8235
110.8233,8.6845,2.2647,55.371,40.1389,0.7656,0.8191
117.2936,8.7619,2.2913,66.2885,53.5746,0.777,0.803
118.3554,8.7619,2.2828,68.08,54.9559,0.7793,0.7936
118.3554,8.8317,2.2804,68.08,47.8353,0.7643,0.7922
116.7627,9.1672,2.2967,65.3927,65.1289,0.7399,0.7867
121.2189,8.9524,2.3085,72.9116,50.2774,0.7257,0.7705
118.0042,8.9259,2.3022,67.4874,68.4942,0.7268,0.755
123.8661,8.8571,2.2865,77.3783,74.3492,0.725,0.7541
122.8905,8.8571,2.2644,75.7322,65.883,0.7298,0.7822
120.3537,8.7787,2.25,71.4517,62.824,0.7339,0.7961
116.78,8.0,2.2475,65.4218,57.616,0.7425,0.7842
121.1526,8.0,2.2543,72.7998,40.2199,0.7501,0.793
119.1954,8.0351,2.2689,69.4974,49.1013,0.7511,0.8008
119.6635,8.0952,2.273,70.2871,48.9718,0.7579,0.8013
121.6456,8.0572,2.2713,73.6317,49.5291,0.7652,0.7483
125.0296,8.1742,2.2681,79.3415,54.6814,0.7639,0.7491
125.0291,8.0952,2.2727,79.3406,64.3452,0.7557,0.7349
122.7203,7.2856,2.287,75.4449,63.0441,0.7382,0.7147
123.9512,7.7788,2.2872,77.5219,51.0403,0.718,0.7239
123.8431,8.7475,2.2845,65.6869,62.2362,0.6999,0.7183
124.1209,8.7153,2.2774,65.3927,64.6634,0.6861,0.7229
124.3987,8.6662,2.2696,66.3243,47.9195,0.6762,0.7245
124.6765,8.5219,2.269,70.6591,55.4488,0.6563,0.7086
124.9543,8.4863,2.2557,62.5789,53.1729,0.6317,0.7028
